title,year,doi,url,collision_class,source_level_checked,why_it_matters,why_not_direct_collision
The impact of experimental designs & system sloppiness on the personalisation process: A cardiovascular perspective,2025,10.1371/journal.pone.0326112,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0326112,C1_strong_conceptual_threat,full_text,Cardiovascular model sloppiness and experimental-design dependence of parameter personalisation; directly limits any claim that measurement-dependent cardiovascular identifiability is new.,"No vascular-age question, no arterial pulse finite codebook, no exhaustive cross-age state aliases, and no physiological alias-rescue analysis."
Assessing input parameter hyperspace and parameter identifiability in a cardiovascular system model via sensitivity analysis,2024,10.1016/j.jocs.2024.102287,https://www.sciencedirect.com/science/article/pii/S1877750324000802,C1_strong_conceptual_threat,abstract_and_repository_metadata,"Cardiovascular parameter identifiability, condition-number/sensitivity analysis, and dependence on clinically relevant measurements.",Lumped systemic model personalisation; no age-conditioned pulse-wave aliasing or global cross-age non-uniqueness.
Structural identifiability analysis of a cardiovascular system model,2016,10.1016/j.medengphy.2016.02.005,https://pubmed.ncbi.nlm.nih.gov/26970891/,C1_strong_conceptual_threat,abstract,Shows pressure-only or volume-only output sets can be non-identifiable and mixed measurements can restore structural identifiability.,"Structural model-parameter identifiability in a six-chamber lumped model, not vascular age or pulse-wave physiological aliases."
Practical identifiability and uncertainty quantification of a pulsatile cardiovascular model,2018,10.1016/j.mbs.2018.07.001,https://www.sciencedirect.com/science/article/abs/pii/S0025556417306582,C1_strong_conceptual_threat,abstract,"Explicit one-to-one parameter-to-output identifiability framing with sensitivity, subset selection, calibration, and uncertainty.",Calibrates a lumped pulsatile model to ventricular pressure/volume; no arterial-age pulse aliases or sensor rescue across ages.
In vivo repeatability of the pulse wave inverse problem in human carotid arteries,2017,10.1016/j.jbiomech.2017.09.017,https://pubmed.ncbi.nlm.nih.gov/29050824/,C1_strong_conceptual_threat,abstract_and_open_full_text,Direct arterial pulse-wave inverse problem estimating arterial parameters from measured wall-displacement waves.,"Local carotid inverse fitting and repeatability; no ageing factorial, cross-age aliases, or measurement-rescue topology."
"Classification and regression of stenosis using an in-vitro pulse wave data set: Dependence on heart rate, waveform and location",2022,10.1016/j.compbiomed.2022.106224,https://www.sciencedirect.com/science/article/pii/S0010482522009325,C1_strong_conceptual_threat,abstract,"Controlled pulse-wave inverse problem with varied heart rate/waveform, stenosis states, and four peripheral pressure signals.",Disease-location classification/regression rather than age-conditioned physiological non-uniqueness; does not enumerate indistinguishable generating states.
An Inverse Problems Approach to Pulse Wave Analysis in the Human Brain,2025,10.1137/24M163921X,https://doi.org/10.1137/24M163921X,C1_strong_conceptual_threat,abstract,Mathematical pulse-wave inverse problem estimating PWV and forward/backward components from MRI.,"Intracranial wave-component reconstruction; no arterial ageing, global state degeneracy, or rescue across measurement arms."
Arterial pulse wave modeling and analysis for vascular-age studies: a review from VascAgeNet,2023,10.1152/ajpheart.00705.2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC7614613/,C2_strong_domain_neighbor,full_text,Key review of biophysical arterial pulse models and pulse-analysis methods for vascular-age assessment.,"Frames extraction/assessment of vascular age and modelling limitations, not exhaustive falsification of uniqueness of age from known generating states."
Assessing hemodynamics from the photoplethysmogram to gain insights into vascular age: a review from VascAgeNet,2022,10.1152/ajpheart.00392.2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC8917928/,C2_strong_domain_neighbor,full_text,Reviews single/multiple PPG and PPG-plus-other-signal approaches to vascular age; emphasizes physiological determinants and measurement choices.,Does not formulate global cross-age generator ambiguity or enumerate physiological compensation aliases.
Vascular age acquired from the pulse signal: A new index to screen early vascular aging,2022,10.1016/j.compbiomed.2022.106355,https://www.sciencedirect.com/science/article/pii/S0010482522010630,C2_strong_domain_neighbor,abstract,Direct pulse-derived vascular-age index and early vascular ageing screening.,Constructs a vascular-age estimator rather than testing whether age is globally identifiable from the pulse.
Modeling arterial pulse waves in healthy aging: a database for in silico evaluation of hemodynamics and pulse wave indexes,2019,10.1152/ajpheart.00218.2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6879924/,C2_strong_domain_neighbor,full_text,"Creates the 4,374-subject PWDB and demonstrates known cardiovascular determinants of pulse waves across age.",Foundational forward database paper; it does not pose or execute the locked exhaustive cross-age aliasing/rescue inverse experiment.
First-harmonic attenuation of radial pulse waves as a sensitive marker for vascular aging,2026,10.1038/s41440-026-02746-x,https://www.nature.com/articles/s41440-026-02746-x,C2_strong_domain_neighbor,abstract_and_article_metadata,"Very recent radial-pulse harmonic marker for vascular ageing, demonstrating continued activity in pulse-derived ageing phenotypes.","Marker/association study; no known generating-state inversion, global degeneracy, or rescue experiment."
Aged-related analysis of pressure pulse wave in the time and frequency domains,2026,10.1016/j.bspc.2026.109912,https://www.sciencedirect.com/science/article/pii/S1746809426004660,C2_strong_domain_neighbor,abstract,Current radial-pressure age-group morphology and spectral analysis.,"Group-difference characterization, not uniqueness/aliasing of age-conditioned physiological generators."
Discrimination of vascular aging using the arterial pulse spectrum and machine-learning analysis,2022,10.1016/j.mvr.2021.104240,https://pubmed.ncbi.nlm.nih.gov/34508787/,C2_strong_domain_neighbor,abstract,Pulse-spectrum machine-learning discrimination of vascular ageing.,Discriminative prediction/classification; does not test information-theoretic/global physiological non-uniqueness.
